Task ID,Story ID,Task Name,Phase,Type,Week,Assignee,Classification,Approx Effort (days),One-Time / Recurring,Importance,Recommendation,Observations & Analysis
,,SPRINT 1 — ML INFRASTRUCTURE & EXPERIMENT SETUP,,,,,,,,,,
T001,S001,Provision Azure ML Workspace (Enterprise / MLflow Native / Unity Catalog),P1,MLOps,Wk1,MLOps Engineer,ML Infrastructure,2,One-Time,Critical,KEEP — Sprint 1,"Central ML hub. Experiment tracking / model registry / compute management. Managed Identity for ADLS/SQL access."
T002,S001,Provision ML Training Cluster (DS13_v2 / Auto 0-8 nodes / Low-priority),P1,MLOps,Wk1,MLOps Engineer,ML Infrastructure,1,One-Time,Critical,KEEP — Sprint 1,"Training compute for daily 02:00 UTC jobs. 3-hr window. 4-8 parallel jobs. Idle timeout: 1200s. Low-priority for 60% cost savings."
T003,S001,Provision ML Compute Instances (DS3_v2 x2 / DS4_v2 x1 for notebooks),P1,MLOps,Wk1,MLOps Engineer,ML Infrastructure,1,One-Time,High,KEEP — Sprint 1,"3 dev instances for ML engineers. Jupyter/VS Code. Auto-shutdown 60min. 3rd instance (DS4) for PS1/PS5 heavy workloads."
T004,S002,Configure MLflow tracking server (SQLite local → Azure SQL production),P1,MLOps,Wk1,MLOps Engineer,ML Infrastructure,2,One-Time,Critical,KEEP — Sprint 1,"Local: sqlite:///mlruns/mlflow.db. Prod: Azure SQL backend + ADLS artifact store. Artifact location: abfss://models@storage/mlflow/"
T005,S002,Create 6 MLflow experiments (PS1-PS5 + Drift_Detection),P1,MLOps,Wk1,MLOps Engineer,ML Infrastructure,1,One-Time,Critical,KEEP — Sprint 1,"Experiments: PS1_Failure_Prediction / PS2_Error_Pattern_Recognition / PS3_Root_Cause_Analysis / PS4_Anomaly_Detection / PS5_SLA_Risk_Prediction / Drift_Detection"
T006,S002,Configure MLflow auto-logging (params / metrics / artifacts / models),P1,MLOps,Wk1,MLOps Engineer,ML Infrastructure,1,One-Time,High,KEEP — Sprint 1,"mlflow.sklearn.autolog() / mlflow.xgboost.autolog(). Custom artifact logging for plots / CSVs / SHAP values. Run naming convention."
T007,S003,Set up ML environment definitions (conda.yml / requirements.txt / Docker base),P1,MLOps,Wk2,MLOps Engineer,ML Infrastructure,2,One-Time,High,KEEP — Sprint 1,"5 registered environments: mars-env-ps{1-5}. Version-pinned packages. Linked to ACR Docker images. Reproducibility guarantee."
T008,S003,Configure ML model accuracy gates (>90% overall / >92% critical devices),P1,MLOps,Wk2,MLOps Engineer,ML Infrastructure,2,One-Time,Critical,KEEP — Sprint 1,"Automated validation script. Checks AUC/F1/Precision/Recall against thresholds. AUTO-REJECT if accuracy<90%. Alert on failure."
T009,S003,Set up ML experiment naming conventions and tagging standards,P1,MLOps,Wk2,MLOps Engineer,ML Infrastructure,1,One-Time,Medium,KEEP — Sprint 1,"Run naming: PS{n}_{Model}_{timestamp}. Tags: model_type / dataset_version / feature_count / data_quality_score / trigger_reason."
,,,,,,,,,,,,
,,SPRINT 2 — PS-1 FAILURE PREDICTION (Full Development),,,,,,,,,,
T010,S004,PS-1: Define target variable (device_failed binary label from maintenance records),P2,ML,Wk3,ML Engineer,PS-1 Specific,2,One-Time,Critical,KEEP — Sprint 2,"Binary classification: 1=failed within 7 days / 0=no failure. Join Gold features with maintenance_events. Handle class imbalance (expected 3-5% positive)."
T011,S004,PS-1: Perform exploratory data analysis (EDA) on Gold features,P2,ML,Wk3,ML Engineer,PS-1 Specific,3,One-Time,High,KEEP — Sprint 2,"Distribution analysis / correlation matrix / target balance check / outlier detection / missing value patterns. Output: EDA_report.html notebook."
T012,S004,PS-1: Feature selection — filter methods (variance threshold / mutual information),P2,ML,Wk3,ML Engineer,PS-1 Specific,2,Recurring,High,KEEP — Sprint 2,"Remove zero-variance features. Mutual information ranking. Select top 20-30 from 85-120 candidates. Log selected features to MLflow."
T013,S005,PS-1: Implement train/test split (80/20 time-based stratified),P2,ML,Wk3,ML Engineer,PS-1 Specific,1,Recurring,Critical,KEEP — Sprint 2,"Time-based split (no data leakage). Stratify by failure label. Train: days 1-24 / Test: days 25-30. Log split statistics to MLflow."
T014,S005,PS-1: Handle class imbalance (SMOTE / class_weight / threshold tuning),P2,ML,Wk3,ML Engineer,PS-1 Specific,2,Recurring,High,KEEP — Sprint 2,"SMOTE oversampling on training set only. Compare: SMOTE vs class_weight='balanced' vs threshold optimization. Log best strategy."
T015,S005,PS-1: Feature scaling and preprocessing pipeline (StandardScaler / OrdinalEncoder),P2,ML,Wk3,ML Engineer,PS-1 Specific,1,Recurring,High,KEEP — Sprint 2,"sklearn Pipeline: StandardScaler for numerics / OrdinalEncoder for categoricals. Save fitted preprocessor as artifact. Training-serving consistency."
T016,S006,PS-1: Train Random Forest (n_estimators=500 / max_depth=15 / min_samples=10),P2,ML,Wk4,ML Engineer,PS-1 Specific,3,Recurring,Critical,KEEP — Sprint 2,"RF baseline. GridSearchCV: n_estimators=[300/500/700] / max_depth=[10/15/20] / min_samples_leaf=[5/10/20]. 5-fold CV. Ensemble weight: 0.45."
T017,S006,PS-1: Train XGBoost (n_estimators=300 / learning_rate=0.05 / max_depth=12),P2,ML,Wk4,ML Engineer,PS-1 Specific,3,Recurring,Critical,KEEP — Sprint 2,"XGBoost with early stopping. GridSearchCV: lr=[0.01/0.05/0.1] / max_depth=[8/10/12] / subsample=[0.8/1.0]. eval_metric=logloss. Weight: 0.35."
T018,S006,PS-1: Train CatBoost (iterations=1200 / depth=8 / learning_rate=0.03),P2,ML,Wk4,ML Engineer,PS-1 Specific,3,Recurring,Critical,KEEP — Sprint 2,"CatBoost native categorical handling. GridSearchCV: iterations=[800/1200/1500] / depth=[6/8/10] / l2_reg=[1/3/5]. GPU optional. Weight: 0.20."
T019,S007,PS-1: Optimize ensemble weights via grid search on validation set,P2,ML,Wk4,ML Engineer,PS-1 Specific,2,Recurring,Critical,KEEP — Sprint 2,"Grid search over weight combinations (w1+w2+w3=1). Optimize for AUC on validation fold. Current best: 0.45/0.35/0.20. Log optimal weights."
T020,S007,PS-1: Calculate confusion matrix / precision / recall / F1 / AUC / avg_precision,P2,ML,Wk4,ML Engineer,PS-1 Specific,1,Recurring,Critical,KEEP — Sprint 2,"Full classification report on test set. ROC curve + PR curve as artifacts. Target: AUC>0.95 / F1>0.60 / Precision>0.70. Log all metrics."
T021,S007,PS-1: Generate ROC curve / PR curve / confusion matrix plots,P2,ML,Wk4,ML Engineer,PS-1 Specific,1,Recurring,High,KEEP — Sprint 2,"matplotlib plots: cm_{model}.png / roc_curve.png / pr_curve.png. Log as MLflow artifacts. Compare 3 models side-by-side."
T022,S007,PS-1: Generate feature importance plots (per model + ensemble),P2,ML,Wk4,ML Engineer,PS-1 Specific,1,Recurring,High,KEEP — Sprint 2,"feature_importance_{model}.png for RF/XGB/CB. Ensemble-weighted importance. Top 15 features bar chart. Log as artifacts."
T023,S008,PS-1: Implement threshold optimization (maximize F1 / business cost matrix),P2,ML,Wk5,ML Engineer,PS-1 Specific,2,Recurring,High,KEEP — Sprint 2,"Sweep threshold 0.1→0.9. Plot F1 vs threshold. Business cost: false_negative=10x cost of false_positive. Optimal threshold likely 0.35-0.50."
T024,S008,PS-1: Apply accuracy gate validation (>90% required / AUTO-REJECT if fail),P2,ML,Wk5,MLOps Engineer,PS-1 Specific,1,Recurring,Critical,KEEP — Sprint 2,"Automated check: if accuracy<0.90 → REJECT + alert. If AUC<0.90 → REJECT + alert. Log pass/fail decision. Block deployment on failure."
T025,S008,PS-1: Register champion model in MLflow (Production stage),P2,MLOps,Wk5,MLOps Engineer,PS-1 Specific,1,Recurring,Critical,KEEP — Sprint 2,"Register best model (highest AUC). Stage: None→Staging→Production. Log: model_uri / accuracy / feature_names / training_data_hash."
T026,S008,PS-1: Save model artifacts (pkl / feature_names / scaler / threshold),P2,ML,Wk5,ML Engineer,PS-1 Specific,1,Recurring,High,KEEP — Sprint 2,"Save: model.pkl / scaler.pkl / feature_names.json / optimal_threshold.json / champion_metrics.json. Versioned in MLflow artifacts."
,,,,,,,,,,,,
,,SPRINT 3 — PS-2 & PS-3 (Error Patterns + Root Cause),,,,,,,,,,
T027,S009,PS-2: Prepare error log data (co-occurrence matrix from Silver error_logs),P2,ML,Wk5,ML Engineer,PS-2 Specific,2,Recurring,High,KEEP — Sprint 3,"Transform error_logs into device-level error baskets. Binary encoding: device x error_type. Time-windowed (7d/30d). Filter noise (count<2)."
T028,S009,PS-2: Train Apriori association rules (min_support=0.05 / min_confidence=0.3),P2,ML,Wk5,ML Engineer,PS-2 Specific,3,Recurring,High,KEEP — Sprint 3,"mlxtend FP-growth (faster than Apriori). Rules: {E001_NFC_TIMEOUT}→{E003_NETWORK_LOSS}. Metrics: support / confidence / lift / conviction."
T029,S009,PS-2: Filter and rank significant rules (lift>1.0 / conviction>1.2),P2,ML,Wk6,ML Engineer,PS-2 Specific,1,Recurring,High,KEEP — Sprint 3,"Remove spurious rules (lift<1.0 means negative correlation). Rank by lift*confidence. Top 20 rules as actionable patterns."
T030,S009,PS-2: Generate association rules visualization (network graph / heatmap),P2,ML,Wk6,ML Engineer,PS-2 Specific,2,Recurring,Medium,KEEP — Sprint 3,"association_rules_plot.png: scatter (support vs confidence colored by lift). Network graph of error co-occurrence. Log as artifacts."
T031,S010,PS-2: Build Markov Chain transition matrix (12 error states),P2,ML,Wk6,ML Engineer,PS-2 Specific,3,Recurring,High,KEEP — Sprint 3,"12 error types as states. P(next_error | current_error). Normalize rows to sum=1. Identify absorbing states (errors that don't recover)."
T032,S010,PS-2: Calculate stationary distribution and escalation probabilities,P2,ML,Wk6,ML Engineer,PS-2 Specific,2,Recurring,High,KEEP — Sprint 3,"Stationary distribution: long-run error type probabilities. Escalation: P(LOW→MEDIUM→HIGH→CRITICAL). Identify cascade sequences."
T033,S010,PS-2: Generate Markov heatmap and transition diagram,P2,ML,Wk6,ML Engineer,PS-2 Specific,2,Recurring,Medium,KEEP — Sprint 3,"markov_heatmap.png: seaborn heatmap of transition probabilities. Highlight top 10 transitions. Log transition_matrix.csv as artifact."
T034,S010,PS-2: Log all PS-2 metrics to MLflow (num_rules / avg_confidence / max_lift / escalations),P2,MLOps,Wk6,ML Engineer,PS-2 Specific,1,Recurring,High,KEEP — Sprint 3,"MLflow run: PS2_Error_Patterns. Metrics: num_association_rules / avg_confidence / max_lift / num_error_states / total_escalations."
