Task ID,Story ID,Task Name,Phase,Type,Week,Assignee,Classification,Approx Effort (days),One-Time / Recurring,Importance,Recommendation,Observations & Analysis
,,SPRINT 1 — SOURCE CONNECTIVITY & CDC SETUP,,,,,,,,,,
T001,S001,Identify and document all source tables (DeviceMaster / Transactions / ErrorLogs / Maintenance / Environment),P1,DE,Wk1,Data Engineer,Source Analysis,3,One-Time,Critical,KEEP — Sprint 1,"Map all 5 source table schemas from client ODS (Azure SQL/PostgreSQL). Document: column names / data types / primary keys / update_at columns / estimated row counts / CDC capability."
T002,S001,Profile source data quality baseline (null rates / duplicate rates / volume per table),P1,DE,Wk1,Data Engineer,Source Analysis,2,One-Time,Critical,KEEP — Sprint 1,"Run profiling queries on each source table. Measure: null% per column / duplicate% / row count / date range / update frequency. Establishes baseline for quality monitoring."
T003,S001,Identify CDC columns (updated_at / created_at) and validate incremental extraction feasibility,P1,DE,Wk1,Data Engineer,Source Analysis,2,One-Time,Critical,KEEP — Sprint 1,"Verify each table has updated_at timestamp. Test: SELECT * WHERE updated_at > @watermark returns only changed rows. If no CDC column: plan full-load fallback strategy."
T004,S002,Provision Azure Data Factory with Managed VNet integration,P1,DE,Wk1,Data Engineer,Infrastructure,2,One-Time,Critical,KEEP — Sprint 1,"ADF Standard v2. Managed VNet enabled. Git integration with Azure DevOps/GitHub. Managed Identity for passwordless auth. No self-hosted IR needed (Managed PEs)."
T005,S002,Create ADF Linked Services (Source SQL + ADLS Gen2 sink) with Managed Identity,P1,DE,Wk1,Data Engineer,Infrastructure,2,One-Time,Critical,KEEP — Sprint 1,"Source: Azure SQL Linked Service via Managed Identity (no passwords). Sink: ADLS Gen2 Linked Service via Managed Identity. Test connectivity through Managed Private Endpoints."
T006,S002,Create ADF Managed Private Endpoints for source database and ADLS,P1,DE,Wk2,Data Engineer,Infrastructure,2,One-Time,High,KEEP — Sprint 1,"Private Endpoint to client SQL/PostgreSQL (bypasses public internet). Private Endpoint to ADLS Gen2. Approve PEs in target resource portal. Verify DNS resolution."
T007,S003,Build watermark tracking table (pipeline_watermarks) in control database,P1,DE,Wk2,Data Engineer,CDC Core,3,One-Time,Critical,KEEP — Sprint 1,"Table: pipeline_watermarks (table_name / last_watermark_value / last_row_count / last_run_status / last_run_timestamp / next_expected_run). Supports incremental CDC extraction."
T008,S003,Implement high-watermark CDC extraction pattern (WHERE updated_at > @last_load),P1,DE,Wk2,Data Engineer,CDC Core,4,Recurring,Critical,KEEP — Sprint 1,"ADF Lookup activity reads current watermark → Copy activity extracts WHERE updated_at > @watermark → Stored Proc updates watermark on success. Handles: first-run (full load) vs incremental."
T009,S003,Build ADF error handling and retry logic (connection timeout / query timeout / transient failures),P1,DE,Wk2,Data Engineer,CDC Core,3,Recurring,High,KEEP — Sprint 1,"Retry policy: 3 retries with exponential backoff (30s/60s/120s). Timeout: connection=120s / query=600s. On failure: log error → send alert → skip batch → retry next cycle."
T010,S004,Configure ADF tumbling window trigger (15-minute intervals),P1,DE,Wk2,Data Engineer,Scheduling,2,Recurring,Critical,KEEP — Sprint 1,"Tumbling window trigger: every 15 minutes. Start time: aligned to :00/:15/:30/:45. Concurrency: 1 (no parallel runs). Retry: 2 attempts. Dependency: none (independent per table)."
T011,S004,Build Event Grid trigger for pipeline completion events,P1,DE,Wk2,Data Engineer,Scheduling,2,One-Time,High,KEEP — Sprint 1,"Event Grid System Topic on ADF. Event type: PipelineRunStatusChanged (Succeeded/Failed). Subscriber: Azure Function → triggers downstream Silver processing. Decouples Bronze from Silver."
